Hour,Frequency
00,149
01,60
02,29614
03,108421
04,160737
05,179348
06,116328
07,55613
08,23400
09,2026
10,60
11,60
12,60
13,62
14,60
15,60
16,9261
17,41127
18,66717
19,116117
20,113967
21,46921
22,16940
23,40
